CASENUMBER,VIOLATIONOPENDATE,CITATIONTYPE,CITATIONNUMBER,DEFICIENCYCODE,DEFICIENCYTEXT,FEEAMOUNT,OUTSTANDINGFEE,LEGALOUTCOME,LEGALOUTCOMEDATE
2019-005512 CV,01/08/2019 12:00:00 AM +0000,Admin Hearing Citation,004237,80672,"This section applies to a short-term rental use that is owner-occupied or is associated with an owner-occupied principal residential unit.  A short-term rental use under this section may not include the rental of less than an entire dwelling unit, operate without a license as required by Section 25-2-790 (License Requirements), or operate without providing notification to renters as required by Section 25-2-791 (Notification Requirements).  For a short-term rental use under this section, a secondary residential unit on the same property may be rented for periods of less than 30 consecutive days for an annual total of more than 90 days.",1000,528,Closed/Mailed in Penalty Paid,05/22/2019 12:00:00 AM +0000
2018-110626 CV,06/28/2018 12:00:00 AM +0000,Admin Hearing Citation,001291,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,08/16/2018 12:00:00 AM +0000
2018-136447 CV,08/11/2018 12:00:00 AM +0000,Admin Hearing Citation,5277,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",1000,1080,Liable,06/18/2019 12:00:00 AM +0000
2018-213373 CV,12/20/2018 12:00:00 AM +0000,Admin Hearing Citation,06993,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",128,878,Liable,06/07/2019 12:00:00 AM +0000
2018-134251 CV,08/08/2018 12:00:00 AM +0000,Admin Hearing Citation,002225,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",750,0,Liable,06/18/2019 12:00:00 AM +0000
2018-055026 CV,03/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002504,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",80,0,Penalty Paid,08/06/2018 12:00:00 AM +0000
2018-076999 CV,04/26/2018 12:00:00 AM +0000,Admin Hearing Citation,001280,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,1080,Liable,06/18/2019 12:00:00 AM +0000
2018-118735 CV,07/14/2018 12:00:00 AM +0000,Admin Hearing Citation,005175,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",80,0,Liable,12/18/2018 12:00:00 AM +0000
2019-031250 CV,02/27/2019 12:00:00 AM +0000,Admin Hearing Citation,005350,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,05/09/2019 12:00:00 AM +0000
2018-134269 CV,08/08/2018 12:00:00 AM +0000,Admin Hearing Citation,000075,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Liable,12/19/2018 12:00:00 AM +0000
2019-025423 CV,02/16/2019 12:00:00 AM +0000,Admin Hearing Citation,07538,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,0,Liable,08/02/2019 12:00:00 AM +0000
2018-118735 CV,07/14/2018 12:00:00 AM +0000,Admin Hearing Citation,002079,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Penalty Paid,12/10/2018 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,0,Liable,07/12/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002452,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising without a license on display.",1000,1000,Liable,02/21/2019 12:00:00 AM +0000
2019-027069 CV,02/20/2019 12:00:00 AM +0000,Admin Hearing Citation,004669,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,0,Liable,07/24/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002453,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising without a license on display.",1000,1080,Liable,07/12/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002452,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",80,1080,Liable,07/12/2019 12:00:00 AM +0000
2019-031250 CV,02/27/2019 12:00:00 AM +0000,Admin Hearing Citation,005350,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,500,Closed/Mailed in Penalty Paid,05/09/2019 12:00:00 AM +0000
2018-062728 CV,03/30/2018 12:00:00 AM +0000,Admin Hearing Citation,002510,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,128,0,Liable,06/18/2019 12:00:00 AM +0000
2018-163262 CV,09/13/2018 12:00:00 AM +0000,Admin Hearing Citation,5299,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Closed/Mailed in Penalty Paid,10/16/2018 12:00:00 AM +0000
2018-011030 CV,01/27/2018 12:00:00 AM +0000,Admin Hearing Citation,002123,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising the property as an STR.",80,0,Liable,02/12/2019 12:00:00 AM +0000
2018-055026 CV,03/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002505,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",80,0,Penalty Paid,08/06/2018 12:00:00 AM +0000
2018-210304 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07526,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Closed/Mailed in Penalty Paid,04/08/2019 12:00:00 AM +0000
2018-194885 CV,11/09/2018 12:00:00 AM +0000,Admin Hearing Citation,005319,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,08/06/2019 12:00:00 AM +0000
